uniprot_id,pmid,class_,primary_name,organism
P45973,36943889,PS-other,CBX5,Homo sapiens
P45973,39101551,PS-other,CBX5,Homo sapiens
P45973,31543422,PS-self,CBX5,Homo sapiens
P45973,35725842,PS-other,CBX5,Homo sapiens
P45973,35447032,PS-self,CBX5,Homo sapiens
Q61686,35725842,PS-other,Cbx5,Mus musculus
P45973,39738032,PS-self,CBX5,Homo sapiens
P45973,37398008,PS-self,CBX5,Homo sapiens
P45973,38048471,PS-other,CBX5,Homo sapiens
P45973,36537242,PS-self,CBX5,Homo sapiens
Q61686,37105967,PS-other,Cbx5,Mus musculus
P45973,35042897,PS-other,CBX5,Homo sapiens
P45973,38664966,PS-other,CBX5,Homo sapiens
Q61686,35042897,PS-other,Cbx5,Mus musculus
P45973,33514913,PS-other,CBX5,Homo sapiens
O95931,37756159,PS-self,CBX7,Homo sapiens
Q8VDS3,34637753,PS-other,Cbx7,Mus musculus
Q9HC52,37756159,PS-self,CBX8,Homo sapiens
P27134,34759380,PS-other,ccaA,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805)
Q16204,33848463,PS-other,CCDC6,Homo sapiens
Q16204,38805286,PS-self,CCDC6,Homo sapiens
A0A2H4FYY8,38805286,PS-other,CCDC6-RET fusion,Homo sapiens
E9Q6B2,37352102,PS-other,Ccdc85c,Mus musculus
Q17345,24176641,PS-other,ccf-1,Caenorhabditis elegans
P13501,38949655,PS-self,CCL5,Homo sapiens
Q03513,34759380,PS-self,ccmM,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805)
Q03513,34759380,PS-other,ccmM,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805)
Q03513,30675061,PS-other,ccmM,Synechococcus elongatus (strain ATCC 33912 / PCC 7942 / FACHB-805)
P78396,37024934,PS-other,CCNA1,Homo sapiens
O60563,37660293,PS-self,CCNT1,Homo sapiens
O60563,35393539,PS-other,CCNT1,Homo sapiens
O60563,38721279,PS-other,CCNT1,Homo sapiens
O60563,37156794,PS-other,CCNT1,Homo sapiens
O60563,29849146,PS-self,CCNT1,Homo sapiens
O60563,39174527,PS-other,CCNT1,Homo sapiens
O60563,35037420,PS-other,CCNT1,Homo sapiens
O60563,32270036,PS-other,CCNT1,Homo sapiens
O60563,38172614,PS-self,CCNT1,Homo sapiens
P78371,35366418,PS-other,CCT2,Homo sapiens
P20963,39609126,PS-other,CD247,Homo sapiens
P10747,39609126,PS-other,CD28,Homo sapiens
Q9Y5K6,34330769,PS-self,CD2AP,Homo sapiens
P07766,37399423,PS-other,CD3E,Homo sapiens
P07766,39609126,PS-other,CD3E,Homo sapiens
P15529,37724036,PS-other,CD46,Homo sapiens
Q00684,33836082,PS-other,CDC14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q09822,37746062,PS-other,cdc15,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
Q09822,36749320,PS-self,cdc15,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
P00549,38025775,PS-other,CDC19,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P00549,32298230,PS-other,CDC19,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P00546,36108633,PS-other,CDC28,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P06704,38150475,PS-self,CDC31,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P25655,36972455,PS-other,CDC39,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
Q9VSM9,31560342,PS-other,Cdc6,Drosophila melanogaster
Q9VSM9,34951585,PS-other,Cdc6,Drosophila melanogaster
Q53HL2,31481798,PS-self,CDCA8,Homo sapiens
Q53HL2,37945831,PS-other,CDCA8,Homo sapiens
Q53HL2,38456462,PS-other,CDCA8,Homo sapiens
Q99PF4,38408254,PS-other,Cdh23,Mus musculus
P50750,32270036,PS-other,CDK9,Homo sapiens
P24100,37378595,PS-other,CDKA-1,Arabidopsis thaliana
P46527,35790738,PS-self,CDKN1B,Homo sapiens
Q8N726,39528457,PS-other,CDKN2A,Homo sapiens
Q64364,36220893,PS-other,Cdkn2a,Mus musculus
Q9H211,31560342,PS-other,CDT1,Homo sapiens
Q9Y232,35918147,PS-self,CDYL,Homo sapiens
P49715,38969762,PS-self,CEBPA,Homo sapiens
P49715,37903757,PS-self,CEBPA,Homo sapiens
P49715,37516962,PS-self,CEBPA,Homo sapiens
P17676,37094986,PS-other,CEBPB,Homo sapiens
P49716,37903757,PS-other,CEBPD,Homo sapiens
Q15744,37903757,PS-other,CEBPE,Homo sapiens
P53567,37903757,PS-other,CEBPG,Homo sapiens
Q92879,35642886,PS-other,CELF1,Homo sapiens
P28659,32908311,PS-other,Celf1,Mus musculus
P28659,34813726,PS-other,Celf1,Mus musculus
P49450,37243594,PS-other,CENPA,Homo sapiens
Q02224,38614097,PS-self,CENPE,Homo sapiens
Q5PR68,39349455,PS-other,Cep112,Mus musculus
Q8N8E3,39349455,PS-self,CEP112,Homo sapiens
O94986,33208041,PS-other,CEP152,Homo sapiens
O94986,33658185,PS-other,CEP152,Homo sapiens
A2AUM9,33658185,PS-other,Cep152,Mus musculus
Q86XR8,38857398,PS-self,CEP57,Homo sapiens
Q96MT8,38857398,PS-other,CEP63,Homo sapiens
Q96MT8,33208041,PS-other,CEP63,Homo sapiens
P41208,38150475,PS-other,CETN2,Homo sapiens
P13569,40063811,PS-other,CFTR,Homo sapiens
Q9FWS3,38773271,PS-other,CG1,Arabidopsis thaliana
P01215,36173346,PS-self,CGA,Homo sapiens
Q8C6L5,33606975,PS-other,Cgas,Mus musculus
Q8N884,33606975,PS-other,CGAS,Homo sapiens
Q8N884,35670106,PS-other,CGAS,Homo sapiens
Q8N884,31142647,PS-other,CGAS,Homo sapiens
Q8C6L5,31142647,PS-other,Cgas,Mus musculus
Q8C6L5,29976794,PS-other,Cgas,Mus musculus
Q8N884,29976794,PS-other,CGAS,Homo sapiens
Q8N884,34015248,PS-other,CGAS,Homo sapiens
Q8N884,31772125,PS-other,CGAS,Homo sapiens
Q8N884,34779554,PS-other,CGAS,Homo sapiens
Q8N884,36382803,PS-other,CGAS,Homo sapiens
Q8C6L5,39322678,PS-other,Cgas,Mus musculus
Q8N884,39322678,PS-other,CGAS,Homo sapiens
Q8N884,38795350,PS-other,CGAS,Homo sapiens
P0DN86,36173346,PS-self,CGB3,Homo sapiens
Q95YF3,35801939,PS-other,cgh-1,Caenorhabditis elegans
Q95YF3,37505984,PS-other,cgh-1,Caenorhabditis elegans
Q95YF3,38161334,PS-other,cgh-1,Caenorhabditis elegans
Q95YF3,24176641,PS-other,cgh-1,Caenorhabditis elegans
Q13111,33739466,PS-self,CHAF1A,Homo sapiens
Q9H444,37450591,PS-other,CHMP4B,Homo sapiens
Q96CF2,37450591,PS-other,CHMP4C,Homo sapiens
P08172,39739811,PS-other,CHRM2,Homo sapiens
Q9ERZ4,39739811,PS-other,Chrm2,Mus musculus
Q10239,38773107,PS-other,chz1,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
Q8L793,37295429,PS-other,CID3,Arabidopsis thaliana
P56198,34508658,PS-self,Cidec,Mus musculus
Q14011,22579281,PS-self,CIRBP,Homo sapiens
Q14011,24267890,PS-self,CIRBP,Homo sapiens
Q14011,33991007,PS-other,CIRBP,Homo sapiens
Q14011,32234784,PS-self,CIRBP,Homo sapiens
Q14011,34738012,PS-other,CIRBP,Homo sapiens
A0A8M6Z3G7,35065906,PS-other,cirbpa,Danio rerio
A0A8M1P6M4,35065906,PS-other,cirbpb,Danio rerio
Q3TXU6,34813726,PS-other,Ciz1,Mus musculus
Q07065,39528501,PS-self,CKAP4,Homo sapiens
Q14008,33349959,PS-other,CKAP5,Homo sapiens
O23249,37378595,PS-other,CKS1,Arabidopsis thaliana
P30622,37603768,PS-self,CLIP1,Homo sapiens
P30622,34890409,PS-other,CLIP1,Homo sapiens
P49760,39119950,PS-self,CLK2,Homo sapiens
P56523,38773107,PS-other,clr3,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
O60016,39477922,PS-self,clr4,Schizosaccharomyces pombe (strain 972 / ATCC 24843)
P10909,39476948,PS-other,CLU,Homo sapiens
Q03690,31285266,PS-other,CLU1,Saccharomyces cerevisiae (strain ATCC 204508 / S288c)
P62633,37186134,PS-other,CNBP,Homo sapiens
P62633,37963251,PS-other,CNBP,Homo sapiens
A0A1W5T566,35766380,PS-self,cnf1,Escherichia coli
Q5NBX1,36791197,PS-self,Cobl,Mus musculus
O75128,36791197,PS-other,COBL,Homo sapiens
P38432,39602297,PS-other,COIL,Homo sapiens
P38432,36224177,PS-other,COIL,Homo sapiens
P02465,35504270,PS-other,COL1A2,Bos taurus
P15954,36220893,PS-other,COX7C,Homo sapiens
A0A2Z5T4U1,36613855,PS-other,cp,Citrus vein enation virus
Q43349,38723165,PS-other,CP29A,Arabidopsis thaliana
P70166,36716374,PS-other,Cpeb1,Mus musculus
A0AB32TRZ9,36745802,PS-other,cpeb1b,Danio rerio
Q7Z5Q1,22579281,PS-self,CPEB2,Homo sapiens
Q7TN99,31416913,PS-other,Cpeb3,Mus musculus
Q8NE35,31416913,PS-other,CPEB3,Homo sapiens
Q7TN99,36716374,PS-other,Cpeb3,Mus musculus
Q17RY0,34787433,PS-self,CPEB4,Homo sapiens
Q17RY0,27802129,PS-other,CPEB4,Homo sapiens
A0A8J1MNV6,27802129,PS-self,cpeb4.S,Xenopus laevis
Q6NVF9,39623137,PS-other,Cpsf6,Mus musculus
Q16630,39623137,PS-other,CPSF6,Homo sapiens
Q16630,32857953,PS-other,CPSF6,Homo sapiens
Q6NVF9,34605568,PS-self,Cpsf6,Mus musculus
Q16630,38762180,PS-other,CPSF6,Homo sapiens
Q16630,39258548,PS-self,CPSF6,Homo sapiens
Q16630,36314049,PS-other,CPSF6,Homo sapiens
Q16630,37414787,PS-other,CPSF6,Homo sapiens
Q16630,37777964,PS-self,CPSF6,Homo sapiens
Q92793,33651988,PS-other,CREBBP,Homo sapiens
Q92793,32632103,PS-other,CREBBP,Homo sapiens
P45481,34605568,PS-self,Crebbp,Mus musculus
