UniProt_ID,Protein_Name,Gene_Names,MLO_Types,Source,is_membrane
Q99496,E3 ubiquitin-protein ligase RING2,RNF2 BAP1 DING HIPI3 RING1B,Polycomb body,PhasePDB,False
Q9BW19,Kinesin-like protein KIFC1,KIFC1 HSET KNSL2,Centrosome,PhasePDB,False
Q9BXT4,Tudor domain-containing protein 1,TDRD1,Nuage,PhasePDB,False
Q9GZQ8,Microtubule-associated protein 1 light chain 3 beta,MAP1LC3B MAP1ALC3,p62 cluster,LLPSDB+PhasePDB,False
Q9H7E2,Tudor domain-containing protein 3,TDRD3,Stress granule,PhasePDB,False
Q9HC35,Echinoderm microtubule-associated protein-like 4,EML4 C2orf2 EMAPL4,,PhasePDB,False
Q9HCE5,N(6)-adenosine-methyltransferase non-catalytic subunit METTL14,METTL14 KIAA1627,Nuclear speckle; Nucleolus,PhasePDB,False
Q9NQS7,Inner centromere protein,INCENP,,PhasePDB,False
Q9NRM7,Serine/threonine-protein kinase LATS2,LATS2 KPM,Receptor cluster,PhasePDB,False
Q9NRR5,Ubiquilin-4,UBQLN4 C1orf6 CIP75 UBIN,UBQLN puncta,PhasePDB,False
Q9NSC5,Homer protein homolog 3,HOMER3,Postsynaptic density,LLPSDB+PhasePDB,False
Q9NVP1,ATP-dependent RNA helicase DDX18,DDX18 cPERP-D,Nucleolus,PhasePDB,False
Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1,TERF2IP DRIP5 RAP1,,PhasePDB,False
Q9UBN7,Protein deacetylase HDAC6,HDAC6 KIAA0901,Transcriptional condensate,PhasePDB,False
Q9UHB7,AF4/FMR2 family member 4,AFF4 AF5Q31 MCEF,Elongation complex; Transcriptional condensate,PhasePDB,False
Q9UHD2,Serine/threonine-protein kinase TBK1,TBK1 NAK,STING phase-separator,PhasePDB,False
Q9UJU2,Lymphoid enhancer-binding factor 1,LEF1,Destruction complex condensate; Transcriptional condensate,PhasePDB,False
Q9UMX0,Ubiquilin-1,UBQLN1 DA41 PLIC1,UBQLN puncta,PhasePDB,False
Q9UPU9,Protein Smaug homolog 1,SAMD4A KIAA1053 SAMD4 SMAUG1,P-body; Stress granule,PhasePDB,False
Q9Y4K3,TNF receptor-associated factor 6,TRAF6 RNF85,,PhasePDB,False
A0A286NGJ8,,,,PhasePDB,False
A0A2H4FYY8,receptor protein-tyrosine kinase,CCDC6-RET fusion,,PhasePDB,False
A0JLT2,Mediator of RNA polymerase II transcription subunit 19,MED19 LCMR1,,PhasePDB,False
A1L020,RNA-binding protein MEX3A,MEX3A RKHD4,P-body,PhasePDB,False
A4D1B5,Gamma-secretase-activating protein,GSAP PION,,PhasePDB,False
A7MCY6,TANK-binding kinase 1-binding protein 1,TBKBP1 KIAA0775 SINTBAD,SINT-speckle,PhasePDB,False
B1Q3L0,RING-type E3 ubiquitin transferase,TRIM5 TRIM5alpha,,PhasePDB,False
O00165,HCLS1-associated protein X-1,HAX1 HS1BP1,P-body,PhasePDB,False
O00254,Proteinase-activated receptor 3,F2RL2 PAR3,,PhasePDB,True
O00267,Transcription elongation factor SPT5,SUPT5H SPT5 SPT5H,,PhasePDB,False
O00411,"DNA-directed RNA polymerase, mitochondrial",POLRMT,Mitochondrial nucleoid,PhasePDB,False
O00472,RNA polymerase II elongation factor ELL2,ELL2,,PhasePDB,False
O00541,Pescadillo homolog,PES1,Nucleolus,PhasePDB,False
O00560,Syntenin-1,SDCBP MDA9 SYCL,,PhasePDB,False
O14490,Disks large-associated protein 1,DLGAP1 DAP1 GKAP,,PhasePDB,False
O14526,F-BAR domain only protein 1,FCHO1 KIAA0290,,PhasePDB,False
O14607,Histone demethylase UTY,UTY KDM6C,,PhasePDB,False
O14639,Actin-binding LIM protein 1,ABLIM1 ABLIM KIAA0059 LIMAB1,,PhasePDB,False
O14746,Telomerase reverse transcriptase,TERT EST2 TCS1 TRT,Cajal body,PhasePDB,False
O14763,Tumor necrosis factor receptor superfamily member 10B,TNFRSF10B DR5 KILLER TRAILR2 TRICK2 ZTNFR9,,PhasePDB,True
O14773,Tripeptidyl-peptidase 1,TPP1 CLN2,,PhasePDB,False
O14920,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB IKKB,SARS-CoV-2 N condensate,PhasePDB,False
O14933,Ubiquitin/ISG15-conjugating enzyme E2 L6,UBE2L6 UBCH8,p62 cluster,PhasePDB,False
O14936,Peripheral plasma membrane protein CASK,CASK LIN2,,PhasePDB,False
O14965,Aurora kinase A,AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6,Centrosome,PhasePDB,False
O14979,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL HNRPDL JKTBP,Nucleus; Cytoplasm.,LLPSDB+PhasePDB,False
O15016,Tripartite motif-containing protein 66,TRIM66 C11orf29 KIAA0298,Heterochromatin,PhasePDB,False
O15027,Protein transport protein Sec16A,SEC16A KIAA0310 SEC16 SEC16L,,PhasePDB,False
O15054,Lysine-specific demethylase 6B,KDM6B JMJD3 KIAA0346,Transcriptional condensate,PhasePDB,False
O15067,Phosphoribosylformylglycinamidine synthase,PFAS KIAA0361,Purinosome,PhasePDB,False
O15119,T-box transcription factor TBX3,TBX3,,PhasePDB,False
O15205,Ubiquitin D,UBD FAT10,,PhasePDB,False
O15232,Matrilin-3,MATN3,,PhasePDB,False
O15294,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,OGT,Transcriptional condensate,PhasePDB,False
O15514,DNA-directed RNA polymerase II subunit RPB4,POLR2D,,PhasePDB,False
O15550,Lysine-specific demethylase 6A,KDM6A UTX,,PhasePDB,False
O43251,RNA binding protein fox-1 homolog 2,RBFOX2 FOX2 HRNBP2 RBM9 RTA,,PhasePDB,False
O43290,U4/U6.U5 tri-snRNP-associated protein 1,SART1,,PhasePDB,False
O43324,Eukaryotic translation elongation factor 1 epsilon-1,EEF1E1 AIMP3 P18,,PhasePDB,False
O43583,Density-regulated protein,DENR DRP1,,PhasePDB,False
O43660,Pleiotropic regulator 1,PLRG1,Nuclear speckle,PhasePDB,False
O43663,Protein regulator of cytokinesis 1,PRC1,Polycomb body,PhasePDB,False
O43707,Alpha-actinin-4,ACTN4,,PhasePDB,False
O43896,Kinesin-like protein KIF1C,KIF1C KIAA0706,P-body; Stress granule,PhasePDB,False
O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5,SMARCA5 SNF2H WCRF135,,PhasePDB,False
O60333,Kinesin-like protein KIF1B,KIF1B KIAA0591 KIAA1448,,PhasePDB,False
O60356,Nuclear protein 1,NUPR1 COM1,Stress granule,PhasePDB,False
O60506,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP HNRPQ NSAP1,P-body,PhasePDB,False
O60674,Tyrosine-protein kinase JAK2,JAK2,,PhasePDB,False
O60733,85/88 kDa calcium-independent phospholipase A2,PLA2G6 PLPLA9,,PhasePDB,True
O60812,Heterogeneous nuclear ribonucleoprotein C-like 1,HNRNPCL1 HNRPCL1,,PhasePDB,False
O60934,Nibrin,NBN NBS NBS1 P95,,PhasePDB,False
O75128,Protein cordon-bleu,COBL KIAA0633,,PhasePDB,False
O75151,Lysine-specific demethylase PHF2,PHF2 CENP-35 KIAA0662,,PhasePDB,False
O75157,TSC22 domain family protein 2,TSC22D2 KIAA0669 TILZ4,TWN body,PhasePDB,False
O75312,Zinc finger protein ZPR1,ZPR1 ZNF259,Transcriptional condensate,PhasePDB,False
O75340,Programmed cell death protein 6,PDCD6 ALG2,,PhasePDB,False
O75445,Usherin,USH2A,,PhasePDB,True
O75475,PC4 and SFRS1-interacting protein,PSIP1 DFS70 LEDGF PSIP2,,PhasePDB,False
O75533,Splicing factor 3B subunit 1,SF3B1 SAP155,,PhasePDB,False
O75581,Low-density lipoprotein receptor-related protein 6,LRP6,Wnt signalodroplet,PhasePDB,True
O75920,Small EDRK-rich factor 1,SERF1A FAM2A SERF1 SMAM1,Nucleolus,PhasePDB,False
O75928,E3 SUMO-protein ligase PIAS2,PIAS2 PIASX,PML nuclear body,LLPSDB+PhasePDB,False
O75940,Survival of motor neuron-related-splicing factor 30,SMNDC1 SMNR SPF30,Nuclear speckle,PhasePDB,False
O75970,Multiple PDZ domain protein,MPDZ MUPP1,,PhasePDB,False
O94822,E3 ubiquitin-protein ligase listerin,LTN1 C21orf10 C21orf98 KIAA0714 RNF160 ZNF294,,PhasePDB,False
O94829,Importin-13,IPO13 KIAA0724 RANBP13,,PhasePDB,False
O94832,Unconventional myosin-Id,MYO1D KIAA0727,p62 cluster,PhasePDB,False
O94844,Rho-related BTB domain-containing protein 1,RHOBTB1 KIAA0740,,PhasePDB,False
O94855,Protein transport protein Sec24D,SEC24D KIAA0755,Sec body,PhasePDB,False
O94953,Lysine-specific demethylase 4B,KDM4B JHDM3B JMJD2B KIAA0876,,PhasePDB,False
O94979,Protein transport protein Sec31A,SEC31A KIAA0905 SEC31L1,,PhasePDB,False
O94992,Protein HEXIM1,HEXIM1 CLP1 EDG1 HIS1 MAQ1,Elongation complex,PhasePDB,False
O95049,Tight junction protein ZO-3,TJP3 ZO3,,PhasePDB,False
O95104,SR-related and CTD-associated factor 4,SCAF4 KIAA1172 SFRS15,,PhasePDB,False
O95478,Ribosome biogenesis protein NSA2 homolog,NSA2 TINP1,,PhasePDB,False
O95486,Protein transport protein Sec24A,SEC24A,,PhasePDB,False
O95696,Bromodomain-containing protein 1,BRD1 BRL BRPF2,,PhasePDB,False
O95793,Double-stranded RNA-binding protein Staufen homolog 1,STAU1 STAU,,PhasePDB,False
O95816,BAG family molecular chaperone regulator 2,BAG2,BAG2 condensate,PhasePDB,False
O95886,Disks large-associated protein 3,DLGAP3 DAP3,Postsynaptic density,PhasePDB,False
O95931,Chromobox protein homolog 7,CBX7,Nuclear body,PhasePDB,False
O95999,B-cell lymphoma/leukemia 10,BCL10 CIPER CLAP,,PhasePDB,False
P00492,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1 HPRT,,PhasePDB,False
P01116,GTPase KRas,KRAS KRAS2 RASK2,,PhasePDB,False
P01215,Glycoprotein hormones alpha chain,CGA,,PhasePDB,False
P01857,Immunoglobulin heavy constant gamma 1,IGHG1,,PhasePDB,True
P02649,Apolipoprotein E,APOE,,PhasePDB,False
P02745,Complement C1q subcomponent subunit A,C1QA,,PhasePDB,False
P02768,Albumin,ALB,,PhasePDB,False
P02787,Serotransferrin,TF,,PhasePDB,False
P02792,Ferritin light chain,FTL,,PhasePDB,False
P04049,RAF proto-oncogene serine/threonine-protein kinase,RAF1 RAF,,PhasePDB,False
P04626,Receptor tyrosine-protein kinase erbB-2,ERBB2 HER2 MLN19 NEU NGL,,PhasePDB,True
P05412,Transcription factor Jun,JUN,Stress granule,PhasePDB,False
P05556,Integrin beta-1,ITGB1 FNRB MDF2 MSK12,,PhasePDB,True
P06239,Tyrosine-protein kinase Lck,LCK,,PhasePDB,False
P06400,Retinoblastoma-associated protein,RB1,Transcriptional condensate,PhasePDB,False
P06454,Prothymosin alpha,PTMA TMSA,,PhasePDB,False
P06703,Protein S100-A6,S100A6 CACY,,PhasePDB,False
P06744,Glucose-6-phosphate isomerase,GPI,,PhasePDB,False
P06746,DNA polymerase beta,POLB,,PhasePDB,False
P06858,Lipoprotein lipase,LPL LIPD,,PhasePDB,False
P07237,Protein disulfide-isomerase,P4HB ERBA2L PDI PDIA1 PO4DB,Stress granule,PhasePDB,False
P07305,Histone H1.0,H1-0 H1F0 H1FV,,PhasePDB,False
P07320,Gamma-crystallin D,CRYGD CRYG4,Nucleus.Cytoplasm.,LLPSDB+PhasePDB,False
P07900,Heat shock protein HSP 90-alpha,HSP90AA1 HSP90A HSPC1 HSPCA,P-body; Stress granule,PhasePDB,False
P08047,Transcription factor Sp1,SP1 TSFP1,,PhasePDB,False
P08172,Muscarinic acetylcholine receptor M2,CHRM2,,PhasePDB,True
P08237,"ATP-dependent 6-phosphofructokinase, muscle type",PFKM PFKX,,PhasePDB,False
P08238,Heat shock protein HSP 90-beta,HSP90AB1 HSP90B HSPC2 HSPC3 HSPCB,,PhasePDB,False
P08865,Small ribosomal subunit protein uS2,RPSA LAMBR LAMR1,,PhasePDB,False
P09016,Homeobox protein Hox-D4,HOXD4 HOX4B,,PhasePDB,False
P09017,Homeobox protein Hox-C4,HOXC4 HOX3E,,PhasePDB,False
P09038,Fibroblast growth factor 2,FGF2 FGFB,,PhasePDB,False
P09429,High mobility group protein B1,HMGB1 HMG1,Nucleolus,PhasePDB,False
P0C0S8,Histone H2A type 1,H2AC11 H2AFP HIST1H2AG,,PhasePDB,False
P0DJD4,"RNA-binding motif protein, Y chromosome, family 1 member C",RBMY1C,,PhasePDB,False
P0DN86,Choriogonadotropin subunit beta 3,CGB3 CGB,,PhasePDB,False
P10276,Retinoic acid receptor alpha,RARA NR1B1,Nucleus; Cytoplasm.,LLPSDB+PhasePDB,False
P10644,cAMP-dependent protein kinase type I-alpha regulatory subunit,PRKAR1A PKR1 PRKAR1 TSE1,Stress granule,PhasePDB,False
P10747,T-cell-specific surface glycoprotein CD28,CD28,,PhasePDB,True
P10909,Clusterin,CLU APOJ CLI KUB1,,PhasePDB,False
P10914,Interferon regulatory factor 1,IRF1,Cajal body; PML nuclear body,PhasePDB,False
P11142,Heat shock cognate 71 kDa protein,HSPA8 HSC70 HSP73 HSPA10,Anisosome; Nuclear stress body,PhasePDB,False
P11362,Fibroblast growth factor receptor 1,FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR,,PhasePDB,True
P11388,DNA topoisomerase 2-alpha,TOP2A TOP2,,PhasePDB,False
P12081,"Histidine--tRNA ligase, cytoplasmic",HARS1 HARS HRS,Stress granule,PhasePDB,False
P12643,Bone morphogenetic protein 2,BMP2 BMP2A,,PhasePDB,False
P12931,Proto-oncogene tyrosine-protein kinase Src,SRC SRC1,,PhasePDB,False
P12956,X-ray repair cross-complementing protein 6,XRCC6 G22P1,,PhasePDB,False
P13010,X-ray repair cross-complementing protein 5,XRCC5 G22P2,,PhasePDB,False
P13501,C-C motif chemokine 5,CCL5 D17S136E SCYA5,,PhasePDB,False
P13569,Cystic fibrosis transmembrane conductance regulator,CFTR ABCC7,,PhasePDB,True
P13639,Elongation factor 2,EEF2 EF2,,PhasePDB,False
P14618,Pyruvate kinase PKM,PKM OIP3 PK2 PK3 PKM2,,PhasePDB,False
P14653,Homeobox protein Hox-B1,HOXB1 HOX2I,,PhasePDB,False
P14866,Heterogeneous nuclear ribonucleoprotein L,HNRNPL HNRPL,,PhasePDB,False
P15056,Serine/threonine-protein kinase B-raf,BRAF BRAF1 RAFB1,,PhasePDB,False
P15172,Myoblast determination protein 1,MYOD1 BHLHC1 MYF3 MYOD,Nucleolus,PhasePDB,False
P15502,Elastin,ELN,extracellular matrix.,LLPSDB+PhasePDB,False
P15529,Membrane cofactor protein,CD46 MCP MIC10,,PhasePDB,True
P15927,Replication protein A 32 kDa subunit,RPA2 REPA2 RPA32 RPA34,PML nuclear body; Stress granule,PhasePDB,False
P15941,Mucin-1,MUC1 PUM,,PhasePDB,True
P15954,"Cytochrome c oxidase subunit 7C, mitochondrial",COX7C,Nucleolus,PhasePDB,True
P16402,Histone H1.3,H1-3 H1F3 HIST1H1D,,PhasePDB,False
P17066,Heat shock 70 kDa protein 6,HSPA6 HSP70B',Anisosome,PhasePDB,False
P17096,High mobility group protein HMG-I/HMG-Y,HMGA1 HMGIY,,PhasePDB,False
P17480,Nucleolar transcription factor 1,UBTF UBF UBF1,Nucleolus,PhasePDB,False
P17661,Desmin,DES,,PhasePDB,False
P17676,CCAAT/enhancer-binding protein beta,CEBPB TCF5,Transcriptional condensate,PhasePDB,False
P17947,Transcription factor PU.1,SPI1,,PhasePDB,False
P17948,Vascular endothelial growth factor receptor 1,FLT1 FLT FRT VEGFR1,,PhasePDB,True
P18124,Large ribosomal subunit protein uL30,RPL7,Nucleolus,PhasePDB,False
P18206,Vinculin,VCL,,PhasePDB,False
P19174,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",PLCG1 PLC1,,PhasePDB,False
P19388,"DNA-directed RNA polymerases I, II, and III subunit RPABC1",POLR2E,Transcriptional condensate,PhasePDB,False
P19525,"Interferon-induced, double-stranded RNA-activated protein kinase",EIF2AK2 PKR PRKR,,PhasePDB,False
P20592,Interferon-induced GTP-binding protein Mx2,MX2,P-body; Stress granule,PhasePDB,False
P20823,Hepatocyte nuclear factor 1-alpha,HNF1A TCF1,,PhasePDB,False
P20930,Filaggrin,FLG,,PhasePDB,False
P20963,T-cell surface glycoprotein CD3 zeta chain,CD247 CD3Z T3Z TCRZ,,PhasePDB,True
P21333,Filamin-A,FLNA FLN FLN1,,PhasePDB,False
P21802,Fibroblast growth factor receptor 2,FGFR2 BEK KGFR KSAM,,PhasePDB,True
P22234,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase,PAICS ADE2 AIRC PAIS,Purinosome,PhasePDB,False
P22736,Nuclear receptor subfamily 4immunitygroup A member 1,NR4A1 GFRP1 HMR NAK1,Nuclear body,PhasePDB,False
P23396,Small ribosomal subunit protein uS3,RPS3,DNA damage foci,PhasePDB,False
P23458,Tyrosine-protein kinase JAK1,JAK1 JAK1A JAK1B,,PhasePDB,False
P23588,Eukaryotic translation initiation factor 4B,EIF4B,,PhasePDB,False
P23771,Trans-acting T-cell-specific transcription factor GATA-3,GATA3,Nuclear speckle; Transcriptional condensate,PhasePDB,False
P25440,Bromodomain-containing protein 2,BRD2 KIAA9001 RING3,Transcriptional condensate,PhasePDB,False
P25685,DnaJ homolog subfamily B member 1,DNAJB1 DNAJ1 HDJ1 HSPF1,Stress granule,PhasePDB,False
P25788,Proteasome subunit alpha type-3,PSMA3 HC8 PSC8,Proteasome containing foci,PhasePDB,False
P26368,Splicing factor U2AF 65 kDa subunit,U2AF2 U2AF65,Nuclear speckle,PhasePDB,False
P26373,Large ribosomal subunit protein eL13,RPL13 BBC1,,PhasePDB,False
P26651,mRNA decay activator protein ZFP36,ZFP36 G0S24 NUP475 RNF162A TIS11A TTP,P-body; Stress granule,PhasePDB,False
P27348,14-3-3 protein theta,YWHAQ,Transcriptional condensate,PhasePDB,False
P27361,Mitogen-activated protein kinase 3,MAPK3 ERK1 PRKM3,,PhasePDB,False
P28070,Proteasome subunit beta type-4,PSMB4 PROS26,,PhasePDB,False
P28360,Homeobox protein MSX-1,MSX1 HOX7,,PhasePDB,False
P28702,Retinoic acid receptor RXR-beta,RXRB NR2B2,,PhasePDB,False
P29317,Ephrin type-A receptor 2,EPHA2 ECK,,PhasePDB,True
P29350,Tyrosine-protein phosphatase non-receptor type 6,PTPN6 HCP PTP1C,,PhasePDB,False
P29966,Myristoylated alanine-rich C-kinase substrate,MARCKS MACS PRKCSL,,PhasePDB,False
P30566,Adenylosuccinate lyase,ADSL AMPS,Purinosome,PhasePDB,False
P31151,Protein S100-A7,S100A7 PSOR1 S100A7C,Stress granule,PhasePDB,False
P31269,Homeobox protein Hox-A9,HOXA9 HOX1G,Transcriptional condensate,PhasePDB,False
P31271,Homeobox protein Hox-A13,HOXA13 HOX1J,Transcriptional condensate,PhasePDB,False
P31431,Syndecan-4,SDC4,,PhasePDB,True
P31645,Sodium-dependent serotonin transporter,SLC6A4 HTT SERT,,PhasePDB,True
P31689,DnaJ homolog subfamily A member 1,DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4,Nucleolus; Stress granule,PhasePDB,False
P31943,Heterogeneous nuclear ribonucleoprotein H,HNRNPH1 HNRPH HNRPH1,Nuclear stress body,PhasePDB,False
