uniprot_id,protein_name,gene,organism,source
P62750,60S ribosomal protein L23a;Large ribosomal subunit protein uL23,RPL23A,Homo sapiens,llps_natural
O08816,Neural Wiskott-Aldrich syndrome protein,Wasl,Rat,llps_natural
O60500,Nephrin;Renal glomerulus-specific cell adhesion receptor,NPHS1;NPHN,Homo sapiens,llps_natural
Q91Z69,SLIT-ROBO Rho GTPase-activating protein 1;Rho GTPase-activating protein 13,Srgap1;Arhgap13,Mus musculus,llps_natural
P04147,Polyadenylate-binding protein; cytoplasmic and nuclear;ARS consensus-binding protein ACBP-67;Polyadenylate tail-binding protein,PAB1;YER165W,Saccharomyces cerevisiae,llps_natural
G5EBV6,Guanyl-specific ribonuclease pgl-3;P granule abnormality protein 3,pgl-3;C18G1.4,Caenorhabditis elegans,llps_natural
O43561-2,Linker for activation of T-cells family member 1;36 kDa phospho-tyrosine adapter protein;p36-38,LAT,Homo sapiens,llps_natural
P62993,Growth factor receptor-bound protein 2;Adapter protein GRB2;Protein Ash;SH2/SH3 adapter GRB2,GRB2;ASH,Homo sapiens,llps_natural
Q07889,Son of sevenless homolog 1,SOS1,Homo sapiens,llps_natural
P18031,Tyrosine-protein phosphatase non-receptor type 1;Protein-tyrosine phosphatase 1B,PTPN1;PTP1B,Homo sapiens,llps_natural
Q13094,Lymphocyte cytosolic protein 2;SH2 domain-containing leukocyte protein of 76 kDa;SLP-76 tyrosine phosphoprotein,LCP2,Homo sapiens,llps_natural
O75791,GRB2-related adapter protein 2;Adapter protein GRID;GRB-2-like protein;GRBLG;GRBX;Grf40 adapter protein;Growth factor receptor-binding protein;Hematopoietic cell-associated adapter protein GrpL;P38;Protein GADS;SH3-SH2-SH3 adapter Mona,GRAP2;GADS;GRB2L;GRID,Homo sapiens,llps_natural
O13828,mRNA decapping complex subunit 2,dcp2;SPAC19A8.12,Schizosaccharomyces pombe,llps_natural
O94752,Enhancer of mRNA-decapping protein 3,edc3;SPBC18E5.11c;SPBC23G7.01c,Schizosaccharomyces pombe,llps_natural
P52912,Nucleolysin TIA-1;RNA-binding protein TIA-1;T-cell-restricted intracellular antigen-1,Tia1;Tia,Mus musculus,llps_natural
O60563,Cyclin-T1,CCNT1,Homo sapiens,llps_natural
Q13627,Dual specificity tyrosine-phosphorylation-regulated kinase 1A;Dual specificity YAK1-related kinase;HP86;Protein kinase minibrain homolog,DYRK1A;DYRK;MNB;MNBH,Homo sapiens,llps_natural
P24928,DNA-directed RNA polymerase II subunit RPB1;DNA-directed RNA polymerase II subunit A;DNA-directed RNA polymerase III largest subunit;RNA-directed RNA polymerase II subunit RPB1,POLR2A;POLR2,Homo sapiens,llps_natural
Q13501,Sequestosome-1;EBI3-associated protein of 60 kDa;Phosphotyrosine-independent ligand for the Lck SH2 domain of 62 kDa;Ubiquitin-binding protein p62,SQSTM1;ORCA;OSIL,Homo sapiens,llps_natural
Q9GZQ8,Microtubule-associated proteins 1A/1B light chain 3B;Autophagy-related protein LC3 B;Autophagy-related ubiquitin-like modifier LC3 B;MAP1 light chain 3-like protein 2;MAP1A/MAP1B light chain 3 B;Microtubule-associated protein 1 light chain 3 beta,MAP1LC3B;MAP1ALC3,Homo sapiens,llps_natural
D8V196,Cytoplasmic polyadenylation element binding protein 4,cpeb4,Xenopus,llps_natural
O14979,Heterogeneous nuclear ribonucleoprotein D-like;AU-rich element RNA-binding factor;JKT41-binding protein;Protein laAUF1,HNRNPDL;HNRPDL;JKTBP,Homo sapiens,llps_natural
P31942,Heterogeneous nuclear ribonucleoprotein H3;Heterogeneous nuclear ribonucleoprotein 2H9,HNRNPH3;HNRPH3,Homo sapiens,llps_natural
G8JLB6,Heterogeneous nuclear ribonucleoprotein H,HNRNPH1,Homo sapiens,llps_natural
P55795,Heterogeneous nuclear ribonucleoprotein H2;FTP-3;Heterogeneous nuclear ribonucleoprotein H',HNRNPH2;FTP3;HNRPH2,Homo sapiens,llps_natural
P33240,Cleavage stimulation factor subunit 2;CF-1 64 kDa subunit;Cleavage stimulation factor 64 kDa subunit,CSTF2,Homo sapiens,llps_natural
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1,HNRNPA2B1;HNRPA2B1,Homo sapiens,llps_natural
Q9H0L4,Cleavage stimulation factor subunit 2 tau variant;CF-1 64 kDa subunit tau variant;Cleavage stimulation factor 64 kDa subunit tau variant;TauCstF-64,CSTF2T;KIAA0689,Homo sapiens,llps_natural
P09651-1,Heterogeneous nuclear ribonucleoprotein A1;Helix-destabilizing protein;Single-strand RNA-binding protein;hnRNP core protein A1,HNRNPA1;HNRPA1,Homo sapiens,llps_natural
A0A024RB53,Epididymis secretory sperm binding protein;Heterogeneous nuclear ribonucleoprotein A1; isoform CRA_a,HNRPA1;hCG_2017591,Homo sapiens,llps_natural
