uniprot_id,protein_name,gene_names,organism,source
Q96L73,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",NSD1 ARA267 KMT3B,Homo sapiens,phasepdb
Q96NC0,Zinc finger matrin-type protein 2,ZMAT2,Homo sapiens,phasepdb
Q96QE5,"Transcription elongation factor, mitochondrial",TEFM C17orf42,Homo sapiens,phasepdb
Q96RN5,Mediator of RNA polymerase II transcription subunit 15,MED15 ARC105 CTG7A PCQAP TIG1 TNRC7,Homo sapiens,phasepdb
Q96RR4,Calcium/calmodulin-dependent protein kinase kinase 2,CAMKK2 CAMKKB KIAA0787,Homo sapiens,phasepdb
Q96T37,RNA-binding protein 15,RBM15 OTT OTT1,Homo sapiens,phasepdb
Q99551,"Transcription termination factor 1, mitochondrial",MTERF1 MTERF,Homo sapiens,phasepdb
Q99638,Cell cycle checkpoint control protein RAD9A,RAD9A,Homo sapiens,phasepdb
Q99661,Kinesin-like protein KIF2C,KIF2C KNSL6,Homo sapiens,phasepdb
Q99683,Mitogen-activated protein kinase kinase kinase 5,MAP3K5 ASK1 MAPKKK5 MEKK5,Homo sapiens,phasepdb
Q9BPW5,Ras-like protein family member 11B,RASL11B,Homo sapiens,phasepdb
Q9BQ15,SOSS complex subunit B1,NABP2 OBFC2B SSB1,Homo sapiens,phasepdb
Q9BQQ3,Golgi reassembly-stacking protein 1,GORASP1 GOLPH5 GRASP65,Homo sapiens,phasepdb
Q9BR39,Junctophilin-2,JPH2 JP2,Homo sapiens,phasepdb
Q9BRQ8,Ferroptosis suppressor protein 1,AIFM2 AMID PRG3,Homo sapiens,phasepdb
Q9BSI4,TERF1-interacting nuclear factor 2,TINF2 TIN2,Homo sapiens,phasepdb
Q9BTA9,WW domain-containing adapter protein with coiled-coil,WAC KIAA1844,Homo sapiens,phasepdb
Q9BUR4,Telomerase Cajal body protein 1,WRAP53 TCAB1 WDR79,Homo sapiens,phasepdb
Q9BX63,Fanconi anemia group J protein,BRIP1 BACH1 FANCJ,Homo sapiens,phasepdb
Q9BXP5,Serrate RNA effector molecule homolog,SRRT ARS2 ASR2,Homo sapiens,phasepdb
Q9BXU1,Serine/threonine-protein kinase 31,STK31 SGK396,Homo sapiens,phasepdb
Q9BYW2,Histone-lysine N-methyltransferase SETD2,SETD2 HIF1 HYPB KIAA1732 KMT3A SET2,Homo sapiens,phasepdb
Q9GZR7,ATP-dependent RNA helicase DDX24,DDX24,Homo sapiens,phasepdb
Q9H0E2,Toll-interacting protein,TOLLIP,Homo sapiens,phasepdb
Q9H171,Z-DNA-binding protein 1,ZBP1 C20orf183 DLM1,Homo sapiens,phasepdb
Q9H211,DNA replication factor Cdt1,CDT1,Homo sapiens,phasepdb
Q9H257,Caspase recruitment domain-containing protein 9,CARD9,Homo sapiens,phasepdb
Q9H2A3,Neurogenin-2,NEUROG2 ATOH4 BHLHA8 NGN2,Homo sapiens,phasepdb
Q9H334,Forkhead box protein P1,FOXP1,Homo sapiens,phasepdb
Q9H3F6,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,KCTD10 ULR061,Homo sapiens,phasepdb
Q9H3S7,Tyrosine-protein phosphatase non-receptor type 23,PTPN23 KIAA1471,Homo sapiens,phasepdb
Q9H3U5,Lysosomal dipeptide transporter MFSD1,MFSD1 SMAP4,Homo sapiens,phasepdb
Q9H444,Charged multivesicular body protein 4b,CHMP4B C20orf178 SHAX1,Homo sapiens,phasepdb
Q9H461,Frizzled-8,FZD8,Homo sapiens,phasepdb
Q9H4A3,Serine/threonine-protein kinase WNK1,WNK1 HSN2 KDP KIAA0344 PRKWNK1,Homo sapiens,phasepdb
Q9H4B6,Protein salvador homolog 1,SAV1 WW45,Homo sapiens,phasepdb
Q9H4G4,Golgi-associated plant pathogenesis-related protein 1,GLIPR2 C9orf19 GAPR1,Homo sapiens,phasepdb
Q9H5I1,Histone-lysine N-methyltransferase SUV39H2,SUV39H2 KMT1B,Homo sapiens,phasepdb
Q9H5P4,PDZ domain-containing protein 7,PDZD7 PDZK7,Homo sapiens,phasepdb
Q9H5Q4,"Dimethyladenosine transferase 2, mitochondrial",TFB2M NS5ATP5,Homo sapiens,phasepdb
