Entry,Location_SL_IDs
Q6ZSY5,SL-0162
Q9UMS6,SL-0191; SL-0086; SL-0090; SL-0314; SL-0118
O75128,SL-0039; SL-0090; SL-0300; SL-0086
P52272,SL-0188
O15231,SL-0090; SL-0118
Q14677,SL-0086; SL-0198; SL-0162; SL-0070
Q9H201,SL-0086; SL-0198; SL-0070; SL-0191
Q9NQV8,SL-0191
Q9Y4D8,SL-0162
P28290,SL-0086
P15941,SL-0015; SL-0243; SL-0039; SL-0086; SL-0191
Q7Z434,SL-0172; SL-0173; SL-0204
Q17R98,SL-0191; SL-0276
Q8IY33,SL-0039; SL-0265; SL-0232; SL-0280; SL-0090
Q96HB5,SL-0046; SL-0086; SL-0518; SL-0288; SL-0101
Q14934,SL-0086; SL-0191
Q8N2C7,SL-0039
Q9Y6F6,SL-0198; SL-0239; SL-0162
Q8N3X1,
A6NL88,SL-0520
O00570,SL-0191
Q96F05,SL-0039; SL-0267
O60299,SL-0258; SL-0297; SL-0284; SL-0283; SL-0090
P0CG12,SL-0191
Q5VYM1,
Q8N7X1,
Q9P2F5,
Q6ZVC0,
A6QL64,
Q5SV97,SL-0086; SL-0191
Q9UPR6,
A6NNL0,
Q5VT03,
B1AL46,
P08572,SL-0025
P29966,SL-0039; SL-0090; SL-0086
P84996,SL-0039; SL-0300
Q12947,SL-0191
Q2M1Z3,SL-0291; SL-0118
Q69YH5,SL-0191
Q8NA82,
Q96QB1,SL-0086; SL-0118; SL-0162
Q9P0K8,SL-0191
Q9ULL8,SL-0090
O43365,SL-0191
O60885,SL-0191; SL-0468
P20264,SL-0191
Q6L8H1,
Q6L8H4,
Q8IZF6,SL-0162
Q8TBE0,SL-0191; SL-0468
Q99856,SL-0191; SL-0086
Q9NYF8,SL-0086; SL-0191; SL-0186; SL-0190
Q9ULH7,SL-0191
A8MW92,SL-0191
P20265,SL-0191
Q15637,SL-0191
Q5T481,SL-0191; SL-0495
Q8IZQ8,SL-0191
Q93074,SL-0191
Q9UBC0,SL-0191
O14511,SL-0039; SL-0243
P31260,SL-0191
Q12778,SL-0086; SL-0191
Q5T4S7,SL-0086; SL-0090; SL-0191
Q8N1G1,SL-0191
Q8NHW3,SL-0191
Q96PN7,SL-0191
Q96T37,SL-0186; SL-0190; SL-0178; SL-0182
Q9H0D2,SL-0191
Q9P275,SL-0188; SL-0086
Q9ULI3,SL-0039; SL-0038; SL-0243
Q9Y2J4,SL-0232; SL-0086; SL-0295; SL-0038
O15085,SL-0086; SL-0162
P18146,SL-0191; SL-0086
P48681,
P51608,SL-0191
P51825,SL-0191
P57073,SL-0191
Q14993,SL-0111
Q6PKG0,SL-0086; SL-0281
Q6UUV9,SL-0086; SL-0191
Q7LBC6,SL-0191
Q8IZL8,SL-0188; SL-0190; SL-0191; SL-0086
Q9NVW2,SL-0191
Q9Y2F5,SL-0191; SL-0031
Q9Y2W1,SL-0191; SL-0190; SL-0186
Q9Y3Q8,SL-0191; SL-0086; SL-0283; SL-0258
Q5JWF2,SL-0039; SL-0015
Q9Y2K2,SL-0086
Q6ZS17,SL-0086; SL-0132
Q8IZ21,SL-0086; SL-0291
Q96EV2,SL-0191; SL-0086
Q96PV6,
Q9Y2X9,SL-0191
P51816,SL-0186
Q02388,SL-0025
Q6UY14,SL-0111
Q86Y26,SL-0086; SL-0191
Q9UPN9,SL-0191
Q9UPQ0,SL-0501
Q01804,SL-0086; SL-0191
Q3T8J9,SL-0191; SL-0468
Q8ND83,SL-0090
O43182,SL-0086
Q14151,SL-0086; SL-0191
Q5T1M5,SL-0086; SL-0279; SL-0094
Q15652,SL-0191
P53539,SL-0191
Q6ZMY3,SL-0191; SL-0468
Q86UK7,SL-0091
Q8TEW0,SL-0086; SL-0147; SL-0038; SL-0265; SL-0009; SL-0039; SL-0138; SL-0090
Q9ULU4,SL-0191; SL-0468; SL-0086
P31942,SL-0191
Q13495,SL-0191
Q7Z7F0,SL-0191; SL-0086
O43497,SL-0039; SL-0086
Q8NFW1,SL-0111; SL-0086
Q8TD94,SL-0191
Q9UBL0,SL-0086
O15090,SL-0191
Q9BWG4,SL-0191
O60422,SL-0191
Q96SC8,SL-0191
Q92576,
Q96PX6,SL-0009
Q86VQ1,
Q8WXE0,SL-0086
Q15270,SL-0191
Q9C0B9,
Q5THK1,
Q2KHR3,SL-0468
Q76KD6,SL-0086; SL-0048
Q5VZR2,
O15169,SL-0086; SL-0191; SL-0162; SL-0039
P12036,SL-0090; SL-0279
P29400,SL-0025
Q13435,SL-0191; SL-0186
Q6RFH8,SL-0191; SL-0086
Q71F56,SL-0191
Q8IY63,SL-0265
Q8WUF5,SL-0086; SL-0191
Q9C0D6,SL-0066; SL-0132
Q9H4Z2,SL-0191
Q9UIF9,SL-0188
A0JLT2,SL-0191
O15504,SL-0185; SL-0182
O95425,SL-0039; SL-0090; SL-0148; SL-0295; SL-0469; SL-0467
O95503,SL-0191; SL-0468
P12107,SL-0111
P28356,SL-0191
P85037,SL-0191; SL-0086
P98175,SL-0191
Q14676,SL-0191; SL-0468
Q16676,SL-0191
Q8IWU2,SL-0162
Q92618,SL-0191
Q96CB8,SL-0191
Q96JE9,SL-0090; SL-0132; SL-0279; SL-0283; SL-0245
Q99501,SL-0090; SL-0501
Q9H6Z4,SL-0086; SL-0191
Q9UHB6,SL-0086; SL-0118; SL-0090; SL-0501; SL-0039; SL-0300; SL-0291
Q9UQC2,SL-0086; SL-0039; SL-0370
O43670,SL-0191; SL-0149; SL-0251
P18827,SL-0162; SL-0243; SL-0466
P23588,
P51991,SL-0191
Q3KQU3,SL-0251; SL-0090; SL-0048; SL-0469
Q5RHP9,SL-0066; SL-0086; SL-0304
Q96QT6,SL-0191
Q9H165,SL-0086; SL-0191; SL-0468; SL-0181
Q9HCS4,SL-0191
O43312,SL-0090
P08123,SL-0111
P47902,SL-0191
Q02078,SL-0191
Q5XG87,SL-0086; SL-0190
